insert into UTILISATEUR(idutilisateur, nom, prenom, username, motdepasse) values
(1,'Rodriguez','Fatima','Fatima1','778211752Rodriguez'),
(2,'Garcia','Hugo','Hugo2','1688546493Garcia'),
(3,'Martin','Julie','Julie3','1862836615Martin'),
(4,'Dubois','Lucas','Lucas4','2117354148Dubois'),
(5,'Ferrari','Omar','Omar5','650126137Ferrari'),
(6,'Petit','Louis','Louis6','1783802960Petit'),
(7,'David','Camille','Camille7','1207705871David'),
(8,'Rossi','Mariana','Mariana8','1076369401Rossi'),
(9,'Bouzid','Raul','Raul9','1660229544Bouzid'),
(10,'Dubois','Sophie','Sophie10','1251273528Dubois'),
(11,'Fournier','Emma','Emma11','2008652368Fournier'),
(12,'Lopez','Mehdi','Mehdi12','995460180Lopez'),
(13,'Bernard','Jean','Jean13','1371142729Bernard'),
(14,'Robert','Manon','Manon14','1409006286Robert'),
(15,'Simon','Nathan','Nathan15','636898224Simon'),
(16,'Laurent','Louis','Louis16','198539713Laurent'),
(17,'Abdelkader','Leonor','Leonor17','1171100135Abdelkader'),
(18,'Abdelkader','Luca','Luca18','1667941305Abdelkader'),
(19,'Leroy','Antoine','Antoine19','454382857Leroy'),
(20,'Garcia','Marie','Marie20','718335025Garcia'),
(21,'Bianchi','Mehdi','Mehdi21','1008195049Bianchi'),
(22,'Dubois','Chloé','Chloé22','149131925Dubois'),
(23,'Martin','Louis','Louis23','1185182251Martin'),
(24,'Vincent','Elodie','Elodie24','1629671430Vincent'),
(25,'Rodriguez','Tiago','Tiago25','2058837762Rodriguez'),
(26,'Dubois','Manon','Manon26','1202354613Dubois'),
(27,'Vincent','Marie','Marie27','1557344057Vincent'),
(28,'Rodriguez','Giovanni','Giovanni28','1466405668Rodriguez'),
(29,'Romano','Javier','Javier29','571277971Romano'),
(30,'Thomas','Mathieu','Mathieu30','749858906Thomas'),
(31,'Moreau','Hugo','Hugo31','390438703Moreau'),
(32,'Mokhtar','Rania','Rania32','1105398187Mokhtar'),
(33,'Richard','Nathan','Nathan33','1007740049Richard'),
(34,'Dubois','Pierre','Pierre34','1587343049Dubois'),
(35,'Lefebvre','Chloé','Chloé35','1477958871Lefebvre'),
(36,'Santos','Omar','Omar36','2033880664Santos'),
(37,'Dubois','Antoine','Antoine37','449266022Dubois'),
(38,'Haddad','Luca','Luca38','686612598Haddad'),
(39,'Roux','Paul','Paul39','911289965Roux'),
(40,'Dubois','Louis','Louis40','740343963Dubois'),
(41,'Moreau','Julie','Julie41','398224247Moreau'),
